character,defination
丞,<font color='#f00'>ㄔㄥˊ</font><br/>[名]<br/>• 古代輔佐帝王或正官的官吏。<br/>[動]<br/>• 輔佐、輔助。<br/>
丟,<font color='#f00'>ㄉㄧㄡ</font><br/>[動]<br/>• 遺失、失去。<br/>• 扔、拋棄。<br/>• 遞、投送。<br/>• 擱置。<br/>
丢,• 「丟」的異體字。<br/>
並,<font color='#f00'>ㄅㄧㄥˋ / ㄅㄤˋ</font><br/>[動]<br/>• 併合。<br/>• 兩種或兩種以上的事物並排著。<br/>[副]<br/>• 一起、同時。<br/>• 用於否定詞前，以加強否定語氣。相當於「絕」、「決」。如：「事情並非如此。」、「你別誤會，我並無惡意。」元．秦{[90ba]}夫《剪髮待賓．第一折》：「母親嚴教，並不敢喫酒。」皆、俱。《戰國策．秦策一》：「文士並飭，諸侯亂惑。」南朝宋．劉義慶《世說新語．德行》：「遂班軍而還，一郡並獲全。」<br/>[連]<br/>• 且、而且。<br/>[介]<br/>• 相當於「連」、「同」。<br/><font color='#f00'>ㄅㄤˋ</font><br/>[動]<br/>• 依傍。<br/>
丨,<font color='#f00'>ㄍㄨㄣˇ</font><br/>[形]<br/>• 上下貫通的樣子。<br/>[名]<br/>• 二一四部首之一。<br/>
丩,<font color='#f00'>ㄐㄧㄡ</font><br/>[動]<br/>• 互相糾結纏繞。<br/>
个,• 「個」的異體字。<br/>
丫,<font color='#f00'>ㄧㄚ</font><br/>[名]<br/>• 物體末端分叉的地方。<br/>
中,<font color='#f00'>ㄓㄨㄥ / ㄓㄨㄥˋ</font><br/>[名]<br/>• 距離四方或兩端相等的部位。<br/>• 內、裡面。<br/>• 泛指某一時期以內。<br/>• 中華民國的簡稱。<br/>• 姓。如漢代有中京。<br/>[形]<br/>• 居間介紹、連絡的。<br/>• 居於高低、大小、好壞之間的。<br/>• 半。<br/>[副]<br/>• 正好。<br/>• 表示動作正在進行。<br/><font color='#f00'>ㄓㄨㄥˋ</font><br/>[動]<br/>• 達到要點。<br/>• 合、正對上。<br/>• 遭受、感染。<br/>• 得。<br/>• 考取。<br/>
丮,<font color='#f00'>ㄐㄧˊ</font><br/>[動]<br/>• 持。執的本字。<br/>
丰,<font color='#f00'> / ㄈㄥ</font><br/>• 「豐」的異體字。<br/><font color='#f00'>ㄈㄥ</font><br/>[形]<br/>• 草木茂盛的樣子。<br/>• 容貌美好或豐滿的樣子。<br/><font color='#f00'>ㄈㄥ</font><br/>[名]<br/>• 神態、風韻。<br/>• 《詩經．鄭風》的篇名。共四章。根據〈詩序〉：「〈丰〉，刺亂也。」或亦指女子初不欲嫁其人，既乃悔而從之之詩。首章三句為：「子之丰兮，俟我乎巷兮；悔予不送兮。」子，指其未婚夫。丰，儀態豐滿也，指面貌言。巷，門外。 {[97d2]}「豐」的異體字（01735）<br/>
丱,<font color='#f00'>ㄍㄨㄢˋ</font><br/>[形]<br/>• 小孩頭髮分束成兩角突出的樣子。<br/>
串,<font color='#f00'>ㄔㄨㄢˋ</font><br/>[動]<br/>• 把東西連貫在一起。<br/>• 勾結做壞事。<br/>• 扮演。<br/>• 隨意往來、走動。<br/>• 連接錯亂。<br/>[名]<br/>• 量詞。計算成串物品的單位。<br/>
丳,<font color='#f00'>ㄔㄢˋ</font><br/>[名]<br/>• 烤肉時用來串肉的竹籤。<br/>
丶,<font color='#f00'>ㄓㄨˇ</font><br/>[名]<br/>• 讀書時斷句的符號。<br/>• 二一四部首之一。<br/>
丸,<font color='#f00'>ㄨㄢˊ</font><br/>[名]<br/>• 形狀小而圓的物體。<br/>• 卵。<br/>• 量詞。計算小而圓物體的單位。<br/>[動]<br/>• 搓揉成球形。<br/>
丹,<font color='#f00'>ㄉㄢ</font><br/>[名]<br/>• 赤色的礦石，可以製成顏料。<br/>• 精煉配製的藥劑。<br/>• 姓。如漢代有丹玉。<br/>[形]<br/>• 紅色的。<br/>• 赤誠的。<br/>
主,<font color='#f00'>ㄓㄨˇ</font><br/>[名]<br/>• 賓客或奴僕的相對詞。<br/>• 帝王。<br/>• 領導者。<br/>• 當事人。<br/>• 有物權或事權的人。<br/>• 牌位。<br/>• 教徒稱呼其所信仰的神為「主」。<br/>• 事物的根本。<br/>• 公主的簡稱。<br/>[動]<br/>• 負責、主持。<br/>• 掌管、統治。<br/>• 贊同。<br/>• 持守。<br/>• 預示。<br/>[形]<br/>• 主要的。<br/>• 自己的。<br/>
丿,<font color='#f00'>ㄆㄧㄝˇ</font><br/>[名]<br/>• 一左撇的筆畫。<br/>• 二一四部首之一。<br/>
乂,<font color='#f00'>ㄧˋ / ㄞˋ</font><br/>[動]<br/>• 割草。刈的本字。<br/>• 治理。<br/>[形]<br/>• 安定、平靜。<br/>[名]<br/>• 才德出眾的人。<br/><font color='#f00'>ㄞˋ</font><br/>[動]<br/>• 懲戒。<br/>
乃,<font color='#f00'>ㄋㄞˇ</font><br/>[代]<br/>• 你、你的。<br/>• 他、他的。<br/>[動]<br/>• 是。<br/>[連]<br/>• 然後、於是。<br/>• 卻。<br/>• 而。<br/>• 若、如果。<br/>[副]<br/>• 竟、居然。<br/>• 才、始。<br/>[助]<br/>• 語助詞。用於發語或轉折。<br/>
久,<font color='#f00'>ㄐㄧㄡˇ</font><br/>[副]<br/>• 時間長遠。<br/>[名]<br/>• 經歷時間的長短。<br/>[形]<br/>• 舊的。<br/>[動]<br/>• 留、滯留。<br/>
么,<font color='#f00'>ㄧㄠ</font><br/>[形]<br/>• 細小。參見「么麼」條。<br/>• 排行最小的。<br/>[名]<br/>• 一的別稱。<br/>• 姓。如明代有么謙。<br/>
义,• 「義」的異體字。<br/>
之,<font color='#f00'>ㄓ</font><br/>[介]<br/>• 的、底。<br/>• 於。<br/>• 諸、之於。<br/>[連]<br/>• 與、及。<br/>• 而。<br/>• 若、如果。<br/>• 則。<br/>[助]<br/>• 用於強調或補足語氣，無義。<br/>[代]<br/>• 他、彼。<br/>• 其、他的。<br/>• 此、這個。<br/>[動]<br/>• 往。如唐朝李白有〈黃鶴樓送孟浩然之廣陵〉詩。<br/>• 至、到。<br/>• 是、為。<br/>• 取用。<br/>[名]<br/>• 姓。如漢代有之馬宇。<br/>
乍,<font color='#f00'>ㄓㄚˋ</font><br/>[副]<br/>• 突然。<br/>• 初、剛剛。<br/>• 暫時。<br/>• 怎、哪。<br/>[動]<br/>• 因害怕而顫抖。<br/>• 壯著、放大。<br/>
