character,defination
䞓,<big><font color='#f00' style='font-family: serif !important;'>chēng</font></big><br>• old variant of 赬|赪[chēng]<br>
䟆,<big><font color='#f00' style='font-family: serif !important;'>bì</font></big><br>• old variant of 蹕|跸[bì]<br>
䟖,<big><font color='#f00' style='font-family: serif !important;'>zhǐ</font></big><br>• erroneous variant of 趾[zhǐ]<br>
䠀,<big><font color='#f00' style='font-family: serif !important;'>chǎng</font></big><br>• to squat<br>• to sit<br>
䠀,<big><font color='#f00' style='font-family: serif !important;'>tāng</font></big><br>• old variant of 趟[tāng]<br>
䠞,<big><font color='#f00' style='font-family: serif !important;'>cù</font></big><br>• variant of 蹙[cù]<br>
䠶,<big><font color='#f00' style='font-family: serif !important;'>shè</font></big><br>• old variant of 射[shè]<br>
䤈,<big><font color='#f00' style='font-family: serif !important;'>xī</font></big><br>• old variant of 醯[xī]<br>
䥑,<big><font color='#f00' style='font-family: serif !important;'>mài</font></big><br>• meitnerium (chemistry)<br>
䥥,<big><font color='#f00' style='font-family: serif !important;'>lián</font></big><br>• old variant of 鐮|镰[lián]<br>
䥯,<big><font color='#f00' style='font-family: serif !important;'>bà</font></big><br>• plow<br>
䦉,<font color='#f00'>ㄙˋ</font><br>• variant of 肆[sì]<br>
䦕,<big><font color='#f00' style='font-family: serif !important;'>pēng</font></big><br>• variant of 閛[pēng]<br>
䩦,<big><font color='#f00' style='font-family: serif !important;'>tiáo</font></big><br>• variant of 鞗[tiáo]<br>
䫏,<font color='#f00'>ㄑㄧ</font><br>• mask of a god used in ceremonies to exorcise demons and drive away pestilence<br>• (archaic) ugly<br>
䬃,<big><font color='#f00' style='font-family: serif !important;'>sà</font></big><br>• variant of 颯|飒[sà]<br>
䬠,<big><font color='#f00' style='font-family: serif !important;'>fēi</font></big><br>• old variant of 霏[fēi]<br>
䬪,<big><font color='#f00' style='font-family: serif !important;'>bó</font></big><br>• variant of 餺|馎[bó]<br>
䭾,<big><font color='#f00' style='font-family: serif !important;'>tuó</font></big><br>• variant of 馱|驮[tuó]<br>
䯝,<big><font color='#f00' style='font-family: serif !important;'>suǐ</font></big><br>• variant of 髓<br>• marrow<br>• essence<br>• quintessence<br>• pith (soft interior of plant stem)<br>
䰟,<big><font color='#f00' style='font-family: serif !important;'>hún</font></big><br>• old variant of 魂[hún]<br>
䰾,<big><font color='#f00' style='font-family: serif !important;'>bā</font></big><br>• see 䰾魚|鲃鱼[bā yú]<br>
䲔,<big><font color='#f00' style='font-family: serif !important;'>jīng</font></big><br>• old variant of 鯨|鲸[jīng]<br>
䳗,<big><font color='#f00' style='font-family: serif !important;'>é</font></big><br>• variant of 鵝|鹅[é]<br>
䳘,<big><font color='#f00' style='font-family: serif !important;'>é</font></big><br>• variant of 鵝|鹅[é]<br>
䴉,<big><font color='#f00' style='font-family: serif !important;'>huán</font></big><br>• spoonbill<br>• ibis<br>• family Threskiornithidae<br>
䴸,<big><font color='#f00' style='font-family: serif !important;'>fū</font></big><br>• variant of 麩|麸[fū]<br>
䵹,<big><font color='#f00' style='font-family: serif !important;'>zhī</font></big><br>• old variant of 蜘[zhī]<br>
䶊,<big><font color='#f00' style='font-family: serif !important;'>nu:4</font></big><br>• old variant of 衄[nu:4]<br>
䶑,<big><font color='#f00' style='font-family: serif !important;'>tì</font></big><br>• variant of 嚏[tì]<br>
一,<font color='#f00'>ㄧ</font><br>• one<br>• 1<br>• single<br>• a (article)<br>• as soon as<br>• entire<br>• whole<br>• all<br>• throughout<br>• 'one' radical in Chinese characters (Kangxi radical 1)<br>• also pr. [yāo] for greater clarity when spelling out numbers digit by digit<br>
丁,<font color='#f00'>ㄉㄧㄥ / ㄓㄥ</font><br>• fourth of the ten Heavenly Stems 十天干[shí tiān gān]<br>• fourth in order<br>• letter 'D' or roman 'IV' in list 'A, B, C', or 'I, II, III' etc<br>• ancient Chinese compass point: 195°<br>• butyl<br>• cubes (of food)<br>
丂,<font color='#f00'>ㄎㄠˇ</font><br>• 'breath' or 'sigh' component in Chinese characters<br>
七,<font color='#f00'>ㄑㄧ</font><br>• seven<br>• 7<br>
丄,<big><font color='#f00' style='font-family: serif !important;'>shàng</font></big><br>• old variant of 上[shàng]<br>
丅,<big><font color='#f00' style='font-family: serif !important;'>xià</font></big><br>• old variant of 下[xià]<br>
丈,<font color='#f00'>ㄓㄤˋ</font><br>• measure of length, ten Chinese feet (3.3 m)<br>• to measure<br>• husband<br>• polite appellation for an older male<br>
三,<font color='#f00'>ㄙㄢ / ㄙㄢˋ / ㄙㄚ</font><br>• three<br>• 3<br>
上,<font color='#f00'>ㄕㄤˋ / ㄕㄤˇ</font><br>• on top<br>• upon<br>• above<br>• upper<br>• previous<br>• first (of multiple parts)<br>• to climb<br>• to get onto<br>• to go up<br>
下,<font color='#f00'>ㄒㄧㄚˋ</font><br>• down<br>• downwards<br>• below<br>• lower<br>• later<br>• next (week etc)<br>• second (of two parts)<br>• to decline<br>• to go down<br>• to arrive at (a decision, conclusion etc)<br>• measure word to show the frequency of an action<br>
丌,<font color='#f00'>ㄐㄧ</font><br>• 'pedestal' component in Chinese characters<br>
不,<font color='#f00'>ㄅㄨˋ / ㄈㄡˇ / ㄈㄡ / ㄈㄨ</font><br>• (negative prefix)<br>• not<br>• no<br>
丏,<font color='#f00'>ㄇㄧㄢˇ</font><br>• hidden from view<br>• barrier to ward off arrows<br>
丐,<font color='#f00'>ㄍㄞˋ</font><br>• to beg for alms<br>• beggar<br>
丑,<font color='#f00'>ㄔㄡˇ</font><br>• clown<br>• 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox<br>• ancient Chinese compass point: 30°<br>
丒,<font color='#f00'>ㄔㄡˇ</font><br>• variant of 醜|丑[chǒu]<br>
且,<font color='#f00'>ㄑㄧㄝˇ / ㄐㄩ</font><br>• and<br>• moreover<br>• yet<br>• for the time being<br>• to be about to<br>• both (... and...)<br>
丕,<font color='#f00'>ㄆㄧ</font><br>• grand<br>
世,<font color='#f00'>ㄕˋ</font><br>• life<br>• age<br>• generation<br>• era<br>• world<br>• lifetime<br>• epoch<br>• descendant<br>• noble<br>
丗,<font color='#f00'>ㄕˋ</font><br>• archaic variant of 世[shì]<br>
丘,<font color='#f00'>ㄑㄧㄡ</font><br>• mound<br>• hillock<br>• grave<br>• classifier for fields<br>
丙,<font color='#f00'>ㄅㄧㄥˇ</font><br>• third of the ten Heavenly Stems 十天干[shí tiān gān]<br>• third in order<br>• letter 'C' or roman 'III' in list 'A, B, C', or 'I, II, III' etc<br>• ancient Chinese compass point: 165°<br>• propyl<br>
丞,<font color='#f00'>ㄔㄥˊ</font><br>• deputy<br>
丟,<font color='#f00'>ㄉㄧㄡ</font><br>• to lose<br>• to put aside<br>• to throw<br>
丠,<font color='#f00'>ㄑㄧㄡ</font><br>• old variant of 丘[qiū]<br>
丣,<big><font color='#f00' style='font-family: serif !important;'>yǒu</font></big><br>• old variant of 酉[yǒu]<br>
並,<font color='#f00'>ㄅㄧㄥˋ / ㄅㄤˋ</font><br>• and<br>• furthermore<br>• also<br>• together with<br>• (not) at all<br>• simultaneously<br>• to combine<br>• to join<br>• to merge<br>
丨,<font color='#f00'>ㄍㄨㄣˇ</font><br>• radical in Chinese characters (Kangxi radical 2)<br>
丩,<font color='#f00'>ㄐㄧㄡ</font><br>• archaic variant of 糾|纠[jiū]<br>
丫,<font color='#f00'>ㄧㄚ</font><br>• fork<br>• branch<br>• bifurcation<br>• girl<br>
中,<font color='#f00'>ㄓㄨㄥ / ㄓㄨㄥˋ</font><br>• within<br>• among<br>• in<br>• middle<br>• center<br>• while (doing sth)<br>• during<br>• (dialect) OK<br>• all right<br>
丮,<font color='#f00'>ㄐㄧˊ</font><br>• to catch<br>
丰,<font color='#f00'>ㄈㄥ</font><br>• luxuriant<br>• buxom<br>• variant of 豐|丰[fēng]<br>• variant of 風|风[fēng]<br>• appearance<br>• charm<br>
丱,<font color='#f00'>ㄍㄨㄢˋ</font><br>• two tufts of hair<br>• young<br>• underage<br>
串,<font color='#f00'>ㄔㄨㄢˋ</font><br>• to string together<br>• to skewer<br>• to connect wrongly<br>• to gang up<br>• to rove<br>• string<br>• bunch<br>• skewer<br>• classifier for things that are strung together, or in a bunch, or in a row: string of, bunch of, series of<br>• to make a swift or abrupt linear movement (like a bead on an abacus)<br>• to move across<br>
丳,<font color='#f00'>ㄔㄢˋ</font><br>• skewer<br>
丵,<big><font color='#f00' style='font-family: serif !important;'>zhuó</font></big><br>• thick grass<br>• 'bush' component in Chinese characters<br>
丶,<font color='#f00'>ㄓㄨˇ</font><br>• 'dot' radical in Chinese characters (Kangxi radical 3)<br>• see also 點|点[diǎn]<br>
丷,<big><font color='#f00' style='font-family: serif !important;'>bā</font></big><br>• 'eight' component in Chinese characters<br>• archaic variant of 八[bā]<br>
丸,<font color='#f00'>ㄨㄢˊ</font><br>• ball<br>• pellet<br>• pill<br>
丹,<font color='#f00'>ㄉㄢ</font><br>• red<br>• pellet<br>• powder<br>• cinnabar<br>
主,<font color='#f00'>ㄓㄨˇ</font><br>• owner<br>• master<br>• host<br>• individual or party concerned<br>• God<br>• Lord<br>• main<br>• to indicate or signify<br>• trump card (in card games)<br>
丼,<big><font color='#f00' style='font-family: serif !important;'>dòng</font></big><br>• (Tw) bowl of boiled rice with other food on top (loanword from Japanese 'donburi')<br>
丼,<big><font color='#f00' style='font-family: serif !important;'>jǐng</font></big><br>• old variant of 井[jǐng]<br>
丿,<font color='#f00'>ㄆㄧㄝˇ</font><br>• radical in Chinese characters (Kangxi radical 4)<br>• see 撇[piě]<br>
乀,<font color='#f00'>ㄈㄨˊ</font><br>• stretch<br>
乀,<big><font color='#f00' style='font-family: serif !important;'>piě</font></big><br>• variant of 丿[piě]<br>
乂,<font color='#f00'>ㄧˋ / ㄞˋ</font><br>• to regulate<br>• to govern<br>• to control<br>• to mow<br>
乃,<font color='#f00'>ㄋㄞˇ</font><br>• to be<br>• thus<br>• so<br>• therefore<br>• then<br>• only<br>• thereupon<br>
久,<font color='#f00'>ㄐㄧㄡˇ</font><br>• (long) time<br>• (long) duration of time<br>
乆,<big><font color='#f00' style='font-family: serif !important;'>jiǔ</font></big><br>• archaic variant of 久[jiǔ]<br>
乇,<big><font color='#f00' style='font-family: serif !important;'>tuō</font></big><br>• archaic variant of 托[tuō]<br>
乇,<big><font color='#f00' style='font-family: serif !important;'>zhé</font></big><br>• 'blade of grass' component in Chinese characters<br>
么,<font color='#f00'>ㄧㄠ</font><br>• youngest<br>• most junior<br>• tiny<br>• one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military)<br>• one or ace on dice or dominoes<br>• variant of 吆[yāo], to shout<br>
之,<font color='#f00'>ㄓ</font><br>• (possessive particle, literary equivalent of 的[de])<br>• him<br>• her<br>• it<br>
乍,<font color='#f00'>ㄓㄚˋ</font><br>• at first<br>• suddenly<br>• abruptly<br>• to spread<br>• (of hair) to stand on end<br>• bristling<br>
乎,<font color='#f00'>ㄏㄨ / ㄏㄨˊ</font><br>• (classical particle similar to 於|于[yú]) in<br>• at<br>• from<br>• because<br>• than<br>• (classical final particle similar to 嗎|吗[ma], 吧[ba], 呢[ne], expressing question, doubt or astonishment)<br>
乏,<font color='#f00'>ㄈㄚˊ</font><br>• short of<br>• tired<br>
乑,<big><font color='#f00' style='font-family: serif !important;'>zhòng</font></big><br>• to stand side by side<br>• variant of 眾|众[zhòng]<br>
乒,<font color='#f00'>ㄆㄧㄥ</font><br>• (onom.) ping<br>• bing<br>
乓,<font color='#f00'>ㄆㄤ</font><br>• (onom.) bang<br>
乕,<big><font color='#f00' style='font-family: serif !important;'>hǔ</font></big><br>• archaic variant of 虎[hǔ]<br>
乖,<font color='#f00'>ㄍㄨㄞ</font><br>• (of a child) obedient, well-behaved<br>• clever<br>• shrewd<br>• alert<br>• perverse<br>• contrary to reason<br>• irregular<br>• abnormal<br>
乘,<font color='#f00'>ㄔㄥˊ / ㄕㄥˋ</font><br>• to ride<br>• to mount<br>• to make use of<br>• to avail oneself of<br>• to take advantage of<br>• to multiply (mathematics)<br>• Buddhist sect or creed<br>
乙,<font color='#f00'>ㄧˇ</font><br>• second of the ten Heavenly Stems 十天干[shí tiān gān]<br>• second in order<br>• letter 'B' or roman 'II' in list 'A, B, C', or 'I, II, III' etc<br>• second party (in legal contract, usually 乙方[yǐ fāng], as opposed to 甲方[jiǎ fāng])<br>• ethyl<br>• bent<br>• winding<br>• radical in Chinese characters (Kangxi radical 5)<br>• ancient Chinese compass point: 105°<br>
乚,<big><font color='#f00' style='font-family: serif !important;'>yà</font></big><br>• component in Chinese characters<br>• archaic variant of 毫[háo]<br>• archaic variant of 乙[yǐ]<br>
乛,<big><font color='#f00' style='font-family: serif !important;'>zhé</font></big><br>• variant of 乙[zhé]<br>
乜,<font color='#f00'>ㄇㄧㄝ / ㄋㄧㄝˋ</font><br>• to squint<br>• what? (Cantonese)<br>• see also 乜嘢[miē yě]<br>
九,<font color='#f00'>ㄐㄧㄡˇ</font><br>• nine<br>• 9<br>
乞,<font color='#f00'>ㄑㄧˇ / ㄑㄧˋ</font><br>• to beg<br>
也,<font color='#f00'>ㄧㄝˇ</font><br>• also<br>• too<br>• (in Classical Chinese) final particle implying affirmation<br>
