character,defination
㫺,<big><font color='#f00'>xī</font></big><font face='AR UDJingxihei'><br>• old variant of 昔[xī]<br></font>
㬉,<big><font color='#f00'>nuǎn</font></big><font face='AR UDJingxihei'><br>• old variant of 暖[nuǎn]<br></font>
㬎,<big><font color='#f00'>xiǎn</font></big><font face='AR UDJingxihei'><br>• old variant of 顯|显[xiǎn]<br>• visible<br>• apparent<br></font>
㮎,<big><font color='#f00'>bēi</font></big><font face='AR UDJingxihei'><br>• variant of 杯[bēi]<br></font>
㮚,<big><font color='#f00'>lì</font></big><font face='AR UDJingxihei'><br>• old variant of 栗[lì]<br></font>
㮸,<big><font color='#f00'>sòng</font></big><font face='AR UDJingxihei'><br>• variant of 送[sòng]<br></font>
㯭,<big><font color='#f00'>lǔ</font></big><font face='AR UDJingxihei'><br>• variant of 櫓|橹[lǔ]<br></font>
㯳,<big><font color='#f00'>qíng</font></big><font face='AR UDJingxihei'><br>• variant of 檠[qíng]<br></font>
㱃,<big><font color='#f00'>yǐn</font></big><font face='AR UDJingxihei'><br>• old variant of 飲|饮[yǐn]<br></font>
㱾,<big><font color='#f00'>gāi</font></big><font face='AR UDJingxihei'><br>• a kind of metal or jade ornament worn in ancient times to ward off evil spirits<br></font>
㲈,<big><font color='#f00'>sháo</font></big><font face='AR UDJingxihei'><br>• variant of 韶[sháo]<br></font>
㲈,<big><font color='#f00'>táo</font></big><font face='AR UDJingxihei'><br>• variant of 鞀[táo]<br></font>
㲋,<big><font color='#f00'>chuò</font></big><font face='AR UDJingxihei'><br>• ancient name for an animal similar to rabbit but bigger<br></font>
㲱,<big><font color='#f00'>liè</font></big><font face='AR UDJingxihei'><br>• old variant of 鬣[liè]<br></font>
㲾,<big><font color='#f00'>yǔ</font></big><font face='AR UDJingxihei'><br>• old variant of 雨[yǔ]<br></font>
㳂,<big><font color='#f00'>yán</font></big><font face='AR UDJingxihei'><br>• variant of 沿[yán]<br></font>
㳄,<big><font color='#f00'>xián</font></big><font face='AR UDJingxihei'><br>• variant of 涎[xián]<br></font>
㳒,<big><font color='#f00'>fǎ</font></big><font face='AR UDJingxihei'><br>• variant of 法[fǎ]<br></font>
㳮,<big><font color='#f00'>niào</font></big><font face='AR UDJingxihei'><br>• old variant of 尿[niào]<br></font>
㴱,<big><font color='#f00'>shēn</font></big><font face='AR UDJingxihei'><br>• old variant of 深[shēn]<br></font>
㵎,<big><font color='#f00'>jiàn</font></big><font face='AR UDJingxihei'><br>• variant of 澗|涧[jiàn]<br></font>
㵪,<big><font color='#f00'>xián</font></big><font face='AR UDJingxihei'><br>• variant of 涎[xián]<br></font>
㵮,<big><font color='#f00'>chún</font></big><font face='AR UDJingxihei'><br>• clear water<br></font>
㶸,<big><font color='#f00'>xié</font></big><font face='AR UDJingxihei'><br>• (precise meaning unknown, relates to iron)<br>• variant of 協|协[xié]<br></font>
㷖,<big><font color='#f00'>zhào</font></big><font face='AR UDJingxihei'><br>• old variant of 照[zhào]<br></font>
㷭,<big><font color='#f00'>fēng</font></big><font face='AR UDJingxihei'><br>• old variant of 烽[fēng]<br></font>
㹠,<big><font color='#f00'>tún</font></big><font face='AR UDJingxihei'><br>• old variant of 豚[tún]<br></font>
㹢,<big><font color='#f00'>jiā</font></big><font face='AR UDJingxihei'><br>• see 玃[jué]<br></font>
㹴,<big><font color='#f00'>gěng</font></big><font face='AR UDJingxihei'><br>• fierce dog<br></font>
